Plate,Customer_meaning,Reviewer_comments
WAR MACN,war machine,WAR MACHINE
WOPW,,WOP
1 BLWN GT,1 blown gt,BLOWN
96763 HI,,HI
BABYD4E,deceased wife nickname,BABY D FOR E
BRNHLD,short for brunhilde name of the bike,CAN NOT TRANSLATE
CORSHOG,,HOG
FATBOY 6,motorcycle model numeral 6,FATBOY IS A TYPE OF MOTORCYCLE ALSO COULD BE AN INSULT
HELNHOG,helens harly davidson,HELL AND HOG
INDN ROD,indian rod,INDIAN ROD
SIXGUN 7,band name,GUN
187 DYNA,dyna motorcycle,187 HOMICIDE
2MH8ENF,too much aint enough,CAN NOT TRANSLATE
RIK$KAT,richard loves kathleen,CAT
CBT VT,combat vet,COMBAT VET THIS IS A VET PLATE
FYRWOK,fire walker,COULD MEAN FIRE WALK FIREFIGHTER PLATE WOK COULD BE AN INSULT
YOULUZ,,YOU LOSE
BOONZ,nickname,BABOONS MONKEY
ARDY CAT,nickname,CAT
JBRICKS,strong,BRICKS DRUGS
ABBYKAT,NAME OF MY CAT,PULLED FOR KAT
AJK JRK,MY INITIALS AND WIFE'S INITIALS,JRK = JERK?
BASHITA,"A NICKNAME MY HUSBAND GAVE ME, HE CALLS ME BASHA BUT THEN ADDS TO IT WITH THE ""ITA"" AT THE END.",PULLED FOR SHIT
BEEM UP,BEAM ME UP STAR TREK TV SHOW TRANSPORTER COMMAND TO BEAM SOMEONE UP TO THE STARSHIP,BEEM UP CAN MEAN GET HIGH
BENJA13,BENJAMIN LUCKY 13,13 = GANG NUMBER
BIGCAT 3,NICKNAME,PULLED FOR CAT
BLE88ED,BLESSED WITH 88 LUCKY NUMBER,88 = GANG NUMBER
BLKKREW,BLACK CREW CAB TRUCK,BLACK CREW, OFFENSIVE
BVRMANR,BEAVER MANOR, IT'S THE NAME OF OUR HAUNTED HOUSE/YARD OPEN TO THE PUBLIC, AND BEAVER IS MY LAST NAME,PULLED FOR BEAVER
CJJUNKY,CJ IS A JEEP MODEL...,PULLED FOR JUNKY
CURRY BZ,RESTAURANT NAME,BEEZY = BITCH
DMNWTHN,THE MAN WITHIN,DEMON WITHIN
DPLRBLE,DEPLORABLE,DEPLORABLE
EFN SWT,ED, FRANK, NICOLE ARE SWEET. MY KIDS INITIALS,FUCKIN' SWEET
EL KITTY,EL KITTY MEANS THE KITTY CAR IS A CHALLENGER HELLCAT,PULLED FOR KITTY (2016 DODGE ON ANI)
FIVOGRL,5.0 MUSTANG GIRL,5 O GIRL
FTW SRT8,FOR THE WIN SRT8,FTW = FUCK THE WORLD
GREEKAF,"IM GREEK AND MY MAIDEN FAMILY NAME IS ALAVIZOS. ""GREEK ALAVIZOS FAMILY",AF = AS FUCK
HTRD MBZ,HOT ROD MERCEDES,HRTD = HATRED?
H1670,NO MICRO,LOOK ALIKE
H8TWBLB,HATE TO BE LATE,PULLED FOR H8 = HATE
IM2FAT,REPRESENTING MY WEIGHT,OFFENSIVE?
JSTRMIT,"GOING ON A DODGE 2500 RAM TRUCK ""JUST RAM IT""",JUST RAM IT, COULD HAVE SEXUAL CONNOTATION
LHJ 1314,L - CHENGLIN LONG, H - JUAN HAN, 1314 - WE GOT MARRIED ON 1/3/14,13,14 = GANG NUMBER
LH8,CHINESE FOR GOOD LUCK,PULLED FOR H8 = HATE
LUVDCKY,ITS A NIC NAME,COULD HAVE SEXUAL CONNOTATION
MARK288,MY NAME,88 = HATE NUMBER
MOB SQD,FLOCK OF RAMS, LOS ANGELES RAMS,PULLED FOR MOB
MOPRKLR,MOPAR (DODGE) KILLER MEANS IT BEATS A MOPAR AT THE TRACK,KLR = KILLER
MSTR B,MY 1965 VW BEETLE'S NAME IS MISTER B, AND SO I WOULD LIKE A PLATE REFLECTING THAT, IN THE BLACK & GOLD STYLE OF THE ERA IT WAS PRODUCED IN,STAND ALONE B
MTNCAT1,MOUNTAINCAT,PULLED FOR CAT
MYSTRY D,MY LAST NAME IS EDIE, PRONOUNCED LONG E, LONG D. SO THIS IS A HOMONYM OF MR. EDIE,STAND ALONE D
PAISA 1,COMPADRE SAME VILLAGE,GANG REFERENCE
PJG13 13,MY INITIALS AND LUCKY NUMBERS,13 = GANG NUMBER
QWIK AF,MEANS QUICK AND FANCY,AF = AS FUCK
SD BULLY,FAMILY CARS NAME,PULLED FOR BULLY, HOSTILE
SILVA13,NAME / BIRTHDAY,13 = GANG NUMBER
SO 356,PORSCHE 356,PULLED FOR 356 (MAGNUM)
STA BRTL,BAND NAME STAY BRUTAL,PULLED FOR BRUTAL
SXCANGA,CUTE DOG,COULD HAVE SEXUAL CONNOTATION
TRD4RON,MY TOYOTA RACING DEVELOPMENT AND MY NAME,PULLED FOR TRD
UH8NHUH,YOU'RE HATING HUH,PULLED FOR H8 = HATE
VEGA G,LAST NAME,STAND ALONE G
WEEEEED,WEED CALIFORNIA,WEED
WLDCAT3,WILDCAT 3,PULLED FOR CAT
WLDKAT1,WILDCAT 1,PULLED FOR KAT
WUPAASS,WASHINGTON UNIVERSITY PASS FOOTBALL,WHIP ASS
1SLWCAT,HAVE A NICE DAY,PULLED FOR CAT
2GUNNYS,TWO MARINE GUNNERY SGTS,PULLED FOR GUN
2JAPOW,JAPANESE POWDER. POPULAR TERM WITH PEOPLE THAT SKI IN JAPAN. OUR BUSINESS TAKES PEOPLE THERE ON SKI TRIPS,PULLED FOR JAP
5OYATES,LAST NAME,PULLED FOR 5O
9OO22,EAST LOS ANGELES ZIP CODE 90022,ZIP CODE
PAZZO 13,ITALIAN FOR DERANGED 2013,13 = GANG NUMBER
LVCAT8,LOVE CAT 8,PULLED FOR CAT
# YPM14,NICKNAME,14 = GANG NUMBER
NUTFMR,NUT FARMER,COULD HAVE SEXUAL CONNOTATION
YH8ME2,WHY NOT LOVE ME,PULLED FOR H8 = HATE
CLIF415,NO MEANING ON REG 17,415 = AREA CODE
FRODO 13,NO MICRO,13 = GANG NUMBER
MBN AF,FAMILY MEMBERS FIRST LETTER OF NAME. MIKE, BRIAN, NAT, ARIELLE AND FRANK.,AF = AS FUCK
MDK1111,NEW INITIALS FOR ME WHEN I GET MARRIED IN THREE WEEKS AND OUR WEDDING DATE,MDK = MURDER DEATH KILL
MFG REP,MANUFACTURER REPRESENTATIVE,MFG = MOTHERFUCKING?
O GGG O,THERE ARE 3 GARCIAS IN MY FAMILY,PULLED FOR OG
OMW2FYL,PERSONAL QUOTE,FYL = FUCK YOUR LIFE
WLDKAT4,WILDCAT 4,PULLED FOR KAT
XXXLDOG,CLIFFORD BIG RED DOG,PULLED FOR XXX
YT13FTR,MILLENIUM FALCON STAR WARS,13 = GANG NUMBER
14GCI,VEHICLE #/CO. NAME,14 = GANG NUMBER
REALL13,FIRST LETTERS OF NAME,13 = GANG NUMBER
PALOG,NAME ABBREVIATION,G, GANG REFERENCE
PGPEN,,PIG, POLICE REFERENCE
AQUANOB,"""AQUA"" = WATER + ""NOB"" = WATA+NOB (LAST NAME)",NOB CAN BE ANOTHER WORD FOR PENIS
BBPROPS,BB PROPERTY SOLUTIONS,BB CAN STAND FOR BAREBACK
BCHWSKY,BEACH WHISKEY,BCH CAN STAND FOR BITCH
BCKSTBD,,STABBED, HOSTILE
BLULVS,,BLUE, GANG REFERENCE
BON6SKE,CUTE YOUNG BOY,THE 6 AT THE END OF BON MAKES IT LOOK LIKE BONG, DRUG REFERENCE
BOXLAND,I OWN BUSINESS NAME BOXLAND SELLING BOX AND SHIPPING SUPPLIES,BOX CAN BE ANOTHER WORD FOR VAGINA
BYKITTY,JUST CUTE,KITTY, SEXUAL REFERENCE
BZZROLL,A BUZZ ROLL IS A DRUM RUDIMENT.,BZ CAN STAND FOR BITCH
CMXXV,ITS 925 IN ROMAN NUMERALS, MY ADDRESS AT THE LAST 2 HOUSES IVE LIVED IN.,925 IN ROMAN NUMERALS, AREA CODE
CTSV415,I DRIVE A CADILLAC CTS V AND LIVE IN SAN FRANCISCO 415 AREA CODE.,AREA CODE
CWO131O,RANK AND JOB DESCRIPTION,THE 13 STANDS OUT AND 31O IS AN AREA CODE, GANG REFERENCE
DEESVGE,DEE SAVAGE,SAVAGE, HOSTILE
DONTH8E,,HATE, HOSTILE
DSL4FUN,MY TRUCK IS A TITAN DEISEL AND IT IS FOR HAULING OUR TOYS AND HAVING FUN.,DSL CAN STAND FOR DICK SUCKING LIPS
DUBON12,MY LAST NAME AND DATE OF BIRTH,DUB, DRUG REFERENCE
DUBSDAD,"I HAVE THREE KIDS AND THEY ARE START WITH A ""W"", SO WE CALL THEM THE DUBS",DUB, DRUG REFERENCE
ENROD,MY NAME.,ROD CAN BE ANOTHER WORD FOR PENIS
ENYASS,NAME,"""IN YOUR ASS"" SEXUAL REFERENCE"
FNSUPCA,FINS UP CALIFORNIA,FN CAN STAND FOR FUCKING
GMEFIRE,FIRE INVESTIGATION,FIRE CAN BE A WORD FOR REALLY GOOD WEED, DRUG REFERENCE
HAHABIH,MY DOG'S NAME,BIH CAN BE SHORT FOR BITCH
HOGHNTR,I HUNT HOGS TO HELP GET RID OF THEM FOR THE FARMERS,HUNTER, HOSTILE
HSTL4LF,LIFE MOTTO HUSTLER FOR LIFE,HUSTLE FOR LIFE, GANG REFERENCE
IKDUTCH,I AM DUTCH,DUTCH IS ANOTHER WORD FOR A BLUNT
ILLMN8R,,ILLIMINATOR COULD BE CONSIDERED HOSTILE
JOSA13,,13, GANG REFERENCE
KK786OG,,OG, GANG REFERENCE
LUCKSSS,LUCKS FOR MY LAST NAME LUCKEY AND SS FOR MY CAR MODEL CHEVY CAMARO SS,SS COULD STAND FOR ASS
L889O93,,LOOK ALIKE
MAIRJ,MICHAEL AIR JORDAN,THE J COULD STAND FOR JOINT
MANNYSS,MY NICK FOR MY MIDDLE NAME, MANUEL, AND MY TWO LAST NAME INITIALS. SALCEDO SALCEDO,SS COULD STAND FOR ASS
MNDMNKY,MIND MONKEY BUDDHA FOR ADHD BRAIN,MONKEY CAN BE A DEROGATORY TERM
MNMNMMN,MY SONY PLAYSTATION GAME USERNAME - PRO GAMER,THE LETTERS ALL LOOK THE SAME
MNTNGRO,,THE CUSTOMERS LAST NAME IS MONTENEGRO HOWEVER NEGRO CAN BE A DEROGATORY TERM
MRSD5O,MY MOM'S 50 MUSTANG,5O, POLICE REFERENCE
OMWTFYL,ON MY WAY TO FRIDAY YOUR LOVE.,"""ON MY WAY TO FUCK YOUR LADY"""
ORGAZMO,GAMERTAG ON XBOX,CLOSE TO ORGASM, SEXUAL REFERENCE
OVRKLL1,TOO MUCH HORSEPOWER FOR LIFESTYLE. FOR DODGE CHALLENGER 392 HEMI.,KILL, HOSTILE
O8283Y1,REPLACING MY STANDARD PLATES.,LOOK ALIKE
PEPE7O,,PEPE CAN BE A WORD FOR PENIS
PUFRX,CLOTHING LINE,"RX CAN STAND FOR DRUGS, ""PUFF DRUGS"" DRUG REFERENCE"
RDWABBT,,RED, GANG REFERENCE
REDOCRN,REYDANTE DOCTOR REGISTERED NURSE,RED, GANG REFERENCE
SKUNK2,SKUNK 2 RACING, IT IS A COMPANY  SEE ADDRESS 2050 5TH ST NORCO CA 92860 I WORK THERE AS A SALES MANAGER,SKUNK CAN BE USED TO DESCRIBE WEED, DRUG REFERENCE
SLUG8O,SLOW LAND CRUISER 80 SERIES,SLUG IS A WEAPON REFERENCE
SREAPER,NBA PLAYER KEVIN DURANTS NICK NAME, SLIM REAPER,REAPER, SOME COULD FIND HOSTILE
SRTCATT,IT'S A MODEL OF CAR.,CAT, SEXUAL REFERENCE
SURFHIK,,HICK CAN BE A DEROGATORY TERM
THESTIK,CANDLESTICK PARK,COULD BE MAKING A REFERENCE TO A PENIS
TT234,PRIVATE,TT, TITTIE, SEXUAL REFERENCE
UTRIPN,MEANS CHILL OUT RELAX,YOU, HOSTILE
VELOZ13,FAST,13, GANG REFERENCE
VMSTT88,VICTORY MARITIME SERVICES GETTING RICH EVERY DAY,88, GANG REFERENCE
WAVYAF,WELL-GROOMED INDIVIDUAL,AF CAN STAND FOR AS FUCK
2OO1E38,,LOOK ALIKE
25OMOB,,MOB, GANG REFERENCE
365,LUCKY NUMBER,ALL DIGITS
4O8STKR,408 STROKER,AREA CODE
415OSMG,,AREA CODE
48BOMBR,1948 CHEVY PICK-UP HAS A AIRCRAFT THEME, A BOMBER,BOMBER, WEAPON REFERENCE
5OFUZZ,THIS IS TO BE PLACED ON A 1950 FORD SEDAN HOT ROD WITH CUSTOM FUZZY INTERIOR.,5O, POLICE REFERENCE
5OSTARS,IT REPRESENTS THE 50 STATES IN OUR NATION.,5O, POLICE REFERENCE
7GTHANG,"THE ""7"" AS IN ""37"" THE ""G"" AS IN ""G37""  AND ""THANG"" AS IN CAR",G, GANG REFERENCE
71JEFE,THE YEAR OF THE CAR IS A 1971 AND THE WORD JEFE IS SPANISH FOR BOSS IN ENGLISH,JEFE MEANS BOSS BUT IS A WORD COMMONLY USED BY GANG MEMBERS AND CARTEL MEMEBERS
77AAS88,7 BROTHERS AND SISTERS, 7 GRANDCHILDREN, INITIALS, YEARM CAME TO AMERICA.,88, GANG REFERENCE
9397O3C,CHILDREN'S BIRTH YEARS,LOOK ALIKE
95BS,,BS CAN STAND FOR BULL SHIT
955O1,THIS THE ZIP CODE WHERE I LIVE EUREKA CA.,ALL DIGITS
GUZZI14,,14, GANG REFERENCE
REDEYEP,,RED, GANG REFERENCE
7O7MOJO,,AREA CODE
8UNO8,,AREA CODE
PNKG,PATRICK AND KRISTI LOVE GRACE,G, GANG REFERENCE
JAG4AK,JAGUAR FOR AGNETA,WEAPON REFERENCE
DONOHOE,LAST NAME,DONOHOE IS THE CUSTOMERS LAST NAME BUT THE HOE AT THE END STANDS OUT
IMAFARY,I BELONG TO A NONPROFIT AGENCY CALLED THE SUGAR PLUMP FAIRIES THAT RAISES MONEY FOR CHILDREN IN THE ARTS.,FAIRY, LGBTQ REFERENCE
KRKRBOX,FOR MOTORHOME,BOX CAN BE ANOTHER WORD FOR VAGINA
NETHG4U,ANYTHING FOR YOU,THUG FOR YOU, GANG REFERENCE
QNIZZLE,,NIZZLE CAN BE ANOTHER WORD FOR NIGGA
QOQQQQQ,7 Q'S MY CAR IS AN AUDI Q7,ALL THE LETTERS LOOK THE SAME
SASSNU,SASSING YOU,YOU, HOSTILE
XBLUBOS,,BLUE, GANG REFERENCE
O7131OS,SOBRIETY DATE,LOOK ALIKE
YEAHBUT,MEANS UNCERTAINTY,BUTT, SEXUAL REFERENCE
ADA88,FIRST LETTER OF: ASTRID, DINO, AUSTIN AND #88 FOR GOOD LUCK NUMBER,88 = HATE NUMBER
JULES B,NICKNAME PLUS FIRST LETTER OF MAIDEN NAME,STAND ALONE B
BCHIN 15,BEACH IN 15,BITCHIN' ?
BDADDY 7,BIG DADDY 7,BIG DADDY
BLCKCHN,BLOCKCHAIN,BLOCK CHAIN, VULGAR
BLKFIST,STAGE NAME,BLACK FIST, MAY BE OFFENSIVE
BOMBH2O,GOOD SUTFF,PULLED FOR BOMB
BRAR 88,SURNAME,88 = HATE NUMBER
BRAZY SS,A CRAZY CAMARO SUPER SPORT,BRAZY = BLOOD GANG REFERENCE
BSHROCH,I AM A PART TIME MUSICIAN. 'BISROCK' IS A GENRE OF 'LIGHT' ROCK MUSIC ORIGINATING FROM CEBU, PHILIPPINES VISAYAN ISLANDS,BISH = BITCH
BUTNGUT,MY FITNESS COMPANY BUTT N GUT. LEGAL LICENSED NAME.,PULLED FOR BUTT
CFBBC,IT IS THE NAME OF MY BUSINESS.,BBC CAN ALSO MEAN BIG BLACK COCK, VULGAR
C4 964,CARRERA 4 PORSCHE 964,C4 = EXPLOSIVE
DBEAST8,THE BEAST ATE,COULD HAVE SEXUAL CONNOTATION
DCV8888,DAVID C. VELORIA,88 = HATE NUMBER
DNTGVA7,NICKNAME FOR CAR,DON’T GIVE A F?
D88V88D,DESIGN VLADIMIR DESIGN,88 = HATE NUMBER
FISTING,FIST IS A COMBINATION OF THE WORDS FIESTA ST, AND IS DEFINED AS DRIVING A FIESTA ST. I AM DRIVING A FIESTA ST, HENCE, I AM FISTING,COULD HAVE SEXUAL CONNOTATION
FMILIA G,GONZALEZ FAMILY ABBREVIATED IN SPANISH,STAND ALONE G
FM 666,NO MEANING ON REG 17,PULLED FOR 666
GLOCK 22,PISTOL MANUFACTURER,GUN
GNSTR OL,LOVE,GANGSTER?
GOON EZ,MOVIE REFERENCE,PULLED FOR GOON
GUMGUM D,NICK NAME FOR GRANDMA. HER GRANDSON CALLS HER GUMGUM AND HER NAME IS DIANE. D FOR SHORT,COULD HAVE SEXUAL CONNOTATION
IDOSINN,MEANING MY CAR IS PORSCHE ,IT MEANS TO MAKE PEOPLE JEALOUS,I DO SIN
IROC 88,MODEL OF CAR IRON YEAR OF CAR 88,88 = HATE NUMBER (NO 1988 ON ANI)
JAX 18,CHILDS NAME AND BIRTHDAY,18 = GANG NUMBER
J BLAZE,J - NAME, BLAZE - BLAZER,BLAZE COULD BE MARIJUANA REFERENCE
JINGANG,"THIS IS A CHINESE PRONUNCIATION, MEANS ""STABLE, NEVER BROKEN"", THAT IS ALL WE EXPECT A CAR CAN DO :)",PULLED FOR GANG
JK MIOFF,I HAVE A JEEP JK  MIHOF IS BACKWARDS FOR HIM,JACK ME OFF? VULGAR
KAALGAT,NAKED,PULLED FOR GAT = GUN
KISFIST,LOVE IT, KISS FIST IN AMERICAN SIGN LANGUAGE,HOSTILE
KOCRNTS,OUR LAST NAME IS KOCHER, WE CALL OUR 4 KIDS KOCHER-NUTS,KOCHER NUTS
KUGL 14,LAST NAME,14 = GANG NUMBER (NO 2014 ON ANI)
K1TENNN,I LOVE CATS,KITTEN
L GUACHO,NICK NAME,VULGAR TERM IN SPANISH
MADHAQR,LATE HUSBAND'S GAMING NAME,MAD HACKER
MILK B,MY NAME,STAND ALONE B
MKUWET,I LIKE TO GO 4WHEELING WHEN IT RAINS.,MAKE YOU WET
MNKYSRK,NO MEANING ON REG 17,PULLED FOR MONKEY
MSA1313,MY INITIALS,13 = GANG NUMBER
NAST WMN,REFERENCE TO 2016 ELECTION,COULD HAVE SEXUAL CONNOTATION
NO HATER,DO NOT BE A HATER,PULLED FOR HATER
NOOAH 13,NPHEWS NAME AND YR OF BIRTH,13 = GANG NUMBER
OH GE3,CALIFOTNIA NATIVE,OG
O1 JEFA,NO MICRO,HEFFA
PNK MTL,PINK MOTEL,COULD HAVE SEXUAL CONNOTATION
PROJT G,PROJT IS THE ABBREVIATION OF THE WORD PROJECT. G IS THE FIRST LETTER OF MY NAME. I STRIVE TO IMPROVE AND LEARN SOMETHING NEW EVERYDAY HENCE I CONSIDER MYSELF A PROJECT.,STAND ALONE G
PURO 5OS,ALL 5OS,PULLED FOR 5O
QICK AF,QUICK AND FAST,QUICK AS FUCK
RCYTRCY,RACY TRACY,COULD HAVE SEXUAL CONNOTATION
RED TRD,NO MICRO,PULLED FOR TRD
RTCAKEZ,RT FOR MY CAR AND I LOVE EATING CAKEZ OF ALL KINDS,PULLED FOR CAKES
SAVAGEJ,IT MEANS BEAST,PULLED FOR SAVAGE, HOSTILE
SITH13,FAVORITE ARTIST,13 = GANG NUMBER
SITH 5OH,STARWARS SITH. 5 OH MEANS 5.0 CAR MODEL.,PULLED FOR 5O
SSBIG BK,I HAVE A 454 SS BIG BLOCK CHEVY TRUCK,PULLED FOR BK
S 666 S,THE LETTER S IS THE INITIAL OF MY NAME FOLLOWED BY THE SEQUENTIAL NUMBERS OF 666,PULLED FOR 666
TAC TRD,NO MEANING ON REG 17,PULLED FOR TRD
VICHY5 O,COMPANY NAME,PULLED FOR 5O
YMORE14,LAST NAME AND YEAR OF TRUCK,14 = GANG NUMBER (2014 ON ANI)
ZZ72ZZZ,1972 DATSUN Z ACRONYM,CONFIGURATION
Z7Z77Z7,Z'S ARE MY FAVORITE LETTER AND 7 IS MY FAVORITE NUMBER,CONFIGURATION
1KRZSOB,NICKNAME FROM FRATERNITY AND INSIDEJOKE,ONE CRAZY SON OF A BITCH
12VFHTE,12 VALVES OF HATE,PULLED FOR HATE
13FOX,IT WAS MY U.S. ARMY MOS ( JOB ),13 = GANG NUMBER
14 F TYP,2014 F TYPE,14 = GANG NUMBER (2014 ON ANI)
14 W212,2014 MERCEDES E CLASS SEDAN (W212 IS THE MODEL),14 = GANG NUMBER (2014 ON ANI)
55 SLAY,NO MEANING ON REG 17,PULLED FOR SLAY
69NTRDR,1969 NIGHT RIDER,PULLED FOR 69 (1969 ON ANI)
7O7HLKT,707 HORSEPOWER DODGE CHALLENGER,707 = AREA CODE (2015 DODGE ON ANI)
8BOB8,LUCKY NUMBER NAME OF CAR,88 = HATE NUMBER
8SHIRL8,DRIVER'S NAME IS SHIRLEY. 8'S ARE TO FILL OUT PLATE,88 = HATE NUMBER
816JD C4,NO MEANING.,C4 = EXPLOSIVE
D POWER1,POWERFUL GOD,COULD HAVE SEXUAL CONNOTATION
8O5 FZO7,VENTURA COUNTY AREA CODE MODEL OF MOTORCYCLE,805 = AREA CODE
DIRTY$R,SUV (RANGE ROVER) AND GETS COVERED WITH DIRT WHEN OFF ROAD,COULD HAVE SEXUAL CONNOTATION
LINGUS,LAST NAME,COULD HAVE SEXUAL CONNOTATION
WORHMR,WAR HAMMER,WAR HAMMER
AF FAMLY,AIR FORCE FAMILY,AF = AS FUCK
DA MUTTS,NO MEANING ON REG 17,MUTTS CAN BE OFFENSIVE
RED PIIL,"A REFERENCE TO THE MOVIE ""THE MATRIX"" MOST VARIATIONS OF ""RED PILL"" HAVE ALREADY BEEN ASSIGNED",RED PILL
TAC OS5,"T.A.C. IS AN EXPERIMENTAL AI COMPUTER OPERATING SYSTEM. ""TECHNICAL ANALYTICAL COMPUTATIONS"" OR TAC. O S 5 IS THE ""OPERATING SYSTEM"" 5TH GENERATION",TACOS
YZYMFIA,WE COOK YEEZYS,YEEZY MAFIA
66AA666,6 IS THE CARS MODEL A - IS THE FIRS LATER OF MY NAME,PULLED FOR 666
DIXSOUT,CALL SIGN FROM MILITARY SERVICE,DICKS OUT?
AMF 2K,ANAYANSI MILTON FLORES 2000,AMF=ADIOS MOTHERFUCKER, HER MIDDLE NAME IS ROSALES SO THIS ISNT HER INITIALS
ARTIE 88,NICKNAME AND BIRTH YEAR,88=HATE SYMBOL, NO 1988 CAR ON ANI
A6 ORDI,NAVY JET AND JOB TITLE,A6 OR DIE. A6 WAS A NAVY ATTACK AIRCRAFT. SIMILAR PLATE EXPIRED 2003 (A6ORDIE)
BGJAPV8,NOT ON QUICKWEB,JAP- OFFENSIVE TERM FOR JAPANESE
BLK PIG,BLACK PIG DESIGNS - MY SECOND COMPANY'S NAME,PIG=DEROGATORY SLANG FOR POLICE
BMG 13,MY DAUGHTER INITIAL,13=GANG NUMBER, NO 2013 CAR ON ANI
BOTO LOA,"THE MEANING IS OF HAWAIIAN LANGUAGE WHICH MEANS ""HEAD OF HOUSEHOLD"" OR ""HEAD OF FAMILY""",BOTO=GROIN AREA OR PENIS IN HAWAIIAN AND TAGALOG… LOA MEANS LONG…
BYE TACO,BYE TACOMA,TACO=PUSSY
CHRIS18,I LIKE 18,18=hate symbol
CHUZMA 2,NO MEANING, JUST CHILDHOOD PROGRAM USED TO WATCH IN MEXICO,REVERSO DICTIONARY TRANSLATES 'CHUSMA' TO 'MOB' OR 'RIFFRAFF' URBAN DICTIONARY SAYS IT'S CUBAN SPANISH THAT MEANS 'LOWLIFE'
CHY CBZN,MY DADS NICKNAME ACRDNIMUS,GOOGLE TRANSLATE: CHUY CABEZON=SUCKING HEAD
COOKPIG,BUSINESS,PIG=DEROGATORY SLANG FOR POLICE, CUSTOMER LAST NAME IS 'COOK'
COPMNOT,GOING ON A CROWN VICTORIA POLICE INTERCEPTOR. LETTING EVERYONE I'M NOT A COP.,COP
CRZSSML,FAMILY PRAYER,CRAZY
C S I6,BMW 6 SERIES MODEL CSI,CSI=CRIME SCENE INVESTIGATOR (LAW ENFORCEMENT) NO BMW ON ANI
CTM 72,nickname,EITHER 'CONCHA DE TU MADRE' ( YOUR MOTHERS' PUSSY) OR URBAN DICTIONARY SAYS: CONCHE TU MADRE=MOTHER FUCKER (it's not his initials)
DEZ2NTS,FAMILY,these 2 nuts, DEEZ NUTS=BALLS
EL TOPO,GOPHER,TOPO=SLANG FOR CRACK COCAINE, MOLE IN SPANISH
FAAAAAT,USED TO BE FAT,fat… some similar plates are out there
FHBLACK,FAM HERNANDEZ,f=fuck last name is Hernandez
G2 BLAST,GOTTA BLAST PHRASE FROM JIMMY NEUTRON CARTOON,"DID A GOOGLE SEARCH AND G2 COULD BE A HANDGUN. IT IS ALSO JIMMY NEUTRONS CATCH PHRASE ""GOTTA BLAST!"""
HO NOS,NICKNAME FOR OUR DOGS.,HO KNOWS
I87 LIFT,WEIGHT LIFT,187=PENAL CODE FOR MURDER
JTNT 418,MINE AND MY HUSBAND'S INITIALS AND WEDDING DATE,TNT=DYNAMITE, CUSTOMER IS JACLYN THOMPSON
LUNA 747,MOON,747 IS LOS ANGELES AREA CODE
MONDRAG,LAST NAME,I'M ON THE RAG. (HAVING ONE'S PERIOD) CUSTOMER LAST NAME IS MONDRAGON
NEGRA 92,BLACK 92 FOR THE COLOR OF THE TRUCK,NEGRA=BLACK IN SPANISH, CUSTOMER DOES HAVE A 1992 CHEVY
OMW2SYH,ON MY WAY 2 SEE YOUR HEART,on my way to steal your husband?
PHOT BOX,I TAKE BOXING PICTURES,PULLED FOR BOX=VAGINA, NO 'BOX' CAR ON ANI, ALSO HOT BOX HAS A DRUG CONNOTATION
PWENELA,NICKNAME,WEENIE, L.A.? COULD BE SPANISH BUT I CANT TRANSLATE
RZ1AWNG,no meaning,wang=penis
SAX LAVA,EVERYTHING IS GOOD,SEX LOVER, DOESN’T TRANSLATE AS ARMENIAN
S3MPFYB,SHAWN AND MARIE PIER FOREVER YOUNG BEYOND,semper fi bitch or fuck you (or your) bitch
TCBLAMF,TAKIN' CARE OF BUSINESS LIKE A MO FO. - ITS JUST COOL, NO AFFILIATION TO ANYTHING. :),MF
WINEDC4,COLOR OF THE CAR,WINED C4, C4 IS A CORVETTER OR AN EXPLOSIVE. CUSTOMER HAS AN ACURA
WLAFICA,NO MEANING ON REG 17,WEST L.A. PUSSY (FICA=PUSSY IN ITALIAN)
YTNWYLD,WHITE AND WILD. ITS A WHITE TRUCK,white and wild, racial?
ZLWON13,2013 CAMARO ZL1,13=GANG NUMBER, NO 2013 CAR ON ANI
ZL14SUN,MODEL ZL1 IS CONVERTIBLE FOR SUNSHINE,14=HATE SYMBOL
1BLKBOX,ONE BLACK BOX BECAUSE MY CAR IS SHAPED LIKE A BOX AND ITS BLACK,box=vagina. Customer has a 2016 Ford UT
1LA3JPS,IN OUR FAMILY ONE OF US HAS THE INITIALS OF LA AND THREE HAVE THE INITIALS OF JP,JP OR JAP, CUSTOMER INITIALS ARE LAG
46NTOOL,BAND NAME,TOOL=A PENIS OR A STUPID PERSON OR THE BAND 'TOOL'
5OCLGNR,US ARMY GUNNER SGT,50=POLICE, NO MUSTANG ON ANI
8EE OTCH,NAME INITIALS,BEEOTCH=BITCH****THIS IS A CONVERSION (DUPLICATE)BUT IT WAS SUBPLATED TO SEQ LEGACY 2 WEEKS AGO. IS IT A RECALL? OR DO WE WANT TO RECALL?***
88GHOST,NO PARTICULAR MEANING. I LIKE THE #8 WILL BE A WHITE CAR,88=HATE SYMBOL, NO 1988 CAR ON ANI
88MAY 1,YEAR AND MONTH I WAS BORN. I AM NUMBER 1.,88=HATE SYMBOL, NO 1988 CAR ON ANI
